nodo,puerto,consulta,repeticion,tiempo_ms,filas
nodo2,26258,Q4_reportes_por_laboratorio,8,7.3684,60
nodo2,26258,Q4_reportes_por_laboratorio,9,6.8022,60
nodo2,26258,Q4_reportes_por_laboratorio,10,14.0954,60
nodo2,26258,Q5_equipos_con_mas_fallos,1,9.7066,100
nodo2,26258,Q5_equipos_con_mas_fallos,2,9.9272,100
nodo2,26258,Q5_equipos_con_mas_fallos,3,11.2325,100
nodo2,26258,Q5_equipos_con_mas_fallos,4,10.3112,100
nodo2,26258,Q5_equipos_con_mas_fallos,5,13.9694,100
nodo2,26258,Q5_equipos_con_mas_fallos,6,10.6778,100
nodo2,26258,Q5_equipos_con_mas_fallos,7,10.9066,100
nodo2,26258,Q5_equipos_con_mas_fallos,8,10.438,100
nodo2,26258,Q5_equipos_con_mas_fallos,9,10.9103,100
nodo2,26258,Q5_equipos_con_mas_fallos,10,9.938,100
nodo3,26259,Q1_reportes_pendientes,1,4.3816,100
nodo3,26259,Q1_reportes_pendientes,2,4.7759,100
nodo3,26259,Q1_reportes_pendientes,3,6.2471,100
nodo3,26259,Q1_reportes_pendientes,4,7.6497,100
nodo3,26259,Q1_reportes_pendientes,5,7.0652,100
nodo3,26259,Q1_reportes_pendientes,6,5.8548,100
nodo3,26259,Q1_reportes_pendientes,7,5.2514,100
nodo3,26259,Q1_reportes_pendientes,8,6.1351,100
nodo3,26259,Q1_reportes_pendientes,9,4.9169,100
nodo3,26259,Q1_reportes_pendientes,10,5.902,100
nodo3,26259,Q2_reportes_en_proceso,1,9.2123,200
nodo3,26259,Q2_reportes_en_proceso,2,9.8814,200
nodo3,26259,Q2_reportes_en_proceso,3,8.988,200
nodo3,26259,Q2_reportes_en_proceso,4,10.1404,200
nodo3,26259,Q2_reportes_en_proceso,5,15.7846,200
nodo3,26259,Q2_reportes_en_proceso,6,10.3224,200
nodo3,26259,Q2_reportes_en_proceso,7,10.392,200
nodo3,26259,Q2_reportes_en_proceso,8,9.9982,200
nodo3,26259,Q2_reportes_en_proceso,9,10.4195,200
nodo3,26259,Q2_reportes_en_proceso,10,9.8634,200
nodo3,26259,Q3_reportes_resueltos_join,1,5.0312,250
nodo3,26259,Q3_reportes_resueltos_join,2,5.867,250
nodo3,26259,Q3_reportes_resueltos_join,3,5.3969,250
nodo3,26259,Q3_reportes_resueltos_join,4,7.3056,250
nodo3,26259,Q3_reportes_resueltos_join,5,9.2247,250
nodo3,26259,Q3_reportes_resueltos_join,6,4.5694,250
nodo3,26259,Q3_reportes_resueltos_join,7,5.4667,250
nodo3,26259,Q3_reportes_resueltos_join,8,5.0102,250
nodo3,26259,Q3_reportes_resueltos_join,9,4.5143,250
nodo3,26259,Q3_reportes_resueltos_join,10,6.1911,250
nodo3,26259,Q4_reportes_por_laboratorio,1,11.0099,60
nodo3,26259,Q4_reportes_por_laboratorio,2,9.4575,60
nodo3,26259,Q4_reportes_por_laboratorio,3,11.2127,60
nodo3,26259,Q4_reportes_por_laboratorio,4,8.8081,60
nodo3,26259,Q4_reportes_por_laboratorio,5,14.5237,60
nodo3,26259,Q4_reportes_por_laboratorio,6,9.961,60
nodo3,26259,Q4_reportes_por_laboratorio,7,10.3085,60
nodo3,26259,Q4_reportes_por_laboratorio,8,9.3339,60
nodo3,26259,Q4_reportes_por_laboratorio,9,14.6878,60
nodo3,26259,Q4_reportes_por_laboratorio,10,7.0971,60
nodo3,26259,Q5_equipos_con_mas_fallos,1,10.5073,100
nodo3,26259,Q5_equipos_con_mas_fallos,2,7.8574,100
nodo3,26259,Q5_equipos_con_mas_fallos,3,8.5748,100
nodo3,26259,Q5_equipos_con_mas_fallos,4,8.8577,100
nodo3,26259,Q5_equipos_con_mas_fallos,5,14.3359,100
nodo3,26259,Q5_equipos_con_mas_fallos,6,8.3816,100
nodo3,26259,Q5_equipos_con_mas_fallos,7,8.2122,100
nodo3,26259,Q5_equipos_con_mas_fallos,8,8.3479,100
nodo3,26259,Q5_equipos_con_mas_fallos,9,9.0717,100
nodo3,26259,Q5_equipos_con_mas_fallos,10,9.0003,100
